,urls
0,https://www.manilatimes.net/2021/03/08/news/covid-19-admissions-in-pgh-increase/848208/
13,https://www.manilatimes.net/2021/03/03/videos/magpapabakuna-ka-ba/847005/
14,https://www.manilatimes.net/2021/03/02/news/more-than-400-acts-of-violence-against-covid-health-workers-in-2020-report/846781/
15,https://www.manilatimes.net/2021/03/02/news/latest-stories/covid-19-cases-surge-in-ncr/846780/
16,https://www.manilatimes.net/2021/03/02/news/deal-reached-to-get-california-children-back-in-classrooms/846702/
17,https://www.manilatimes.net/2021/03/02/news/new-cases-of-uk-south-african-variants-detected-in-ph/846701/
18,https://www.manilatimes.net/2021/03/02/news/headlines/expert-no-time-to-be-choosy-with-vaccine/846670/
19,https://www.manilatimes.net/2021/03/02/news/national/vaccine-gives-us-hope/846668/
20,https://www.manilatimes.net/2021/02/28/news/latest-stories/ph-logs-2113-new-covid-cases/846194/
21,https://www.manilatimes.net/2021/02/28/news/latest-stories/lawmaker-seeks-media-help-on-covid-19-vaccine-info-campaign/846187/
22,https://www.manilatimes.net/2021/02/28/second-headline/govt-to-expedite-mass-vaccination-program-go/846183/
23,https://www.manilatimes.net/2021/02/28/news/headlines/health-care-workers-can-choose-vaccine/846160/
24,https://www.manilatimes.net/2021/02/28/opinion/editorial/confident-of-rebound-despite-challenges/846098/
25,https://www.manilatimes.net/2021/02/28/news/regions/covid-19-victims-get-cash-assistance/846022/
26,https://www.manilatimes.net/2021/02/27/news/palace-astrazeneca-vaccines-to-arrive-in-ph-on-march-1/846175/
27,https://www.manilatimes.net/2021/02/27/news/ph-logs-highest-number-of-covid-cases-in-4-months/846176/
28,https://www.manilatimes.net/2021/02/27/news/palace-metro-manila-9-other-areas-remain-under-gcq-in-march/845872/
29,https://www.manilatimes.net/2021/02/27/supplements/fight-vs-covid-19-takes-center-stage-in-dutertes-4th-year/845766/
30,https://www.manilatimes.net/2021/02/25/news/latest-stories/fda-says-single-dose-shot-from-jj-prevents-severe-covid/845155/
31,https://www.manilatimes.net/2021/02/25/campus-press/human-dynamics-in-the-new-normal/844964/
32,https://www.manilatimes.net/2021/02/25/campus-press/under-new-management/844967/
33,https://www.manilatimes.net/2021/02/24/news/latest-stories/ph-tallies-1557-new-covid-cases/844960/
34,https://www.manilatimes.net/2021/02/24/news/latest-stories/palace-distances-self-from-tulfo-claim-on-sinopharm-vaccines/844953/
35,https://www.manilatimes.net/2021/02/24/news/latest-stories/palace-invites-robredo-to-join-volunteer-public-officials-for-sinovac-inoculation/844951/
36,https://www.manilatimes.net/2021/02/24/news/latest-stories/mmda-buys-astrazeneca-vaccines-for-8000-employees/844950/
37,https://www.manilatimes.net/2021/02/24/news/latest-stories/55-pasay-villages-under-localized-community-quarantine/844779/
38,https://www.manilatimes.net/2021/02/24/news/trillanes-to-duterte-focus-on-vaccine-rollout-will-have-you-jailed-in-2022/844778/
39,https://www.manilatimes.net/2021/02/24/news/world/mongolia-receives-covid-19-vaccine-donation-from-china/844762/
40,https://www.manilatimes.net/2021/02/23/news/latest-stories/not-to-be-sniffed-at-agony-of-post-covid-19-loss-of-smell/844555/
41,https://www.manilatimes.net/2021/02/23/news/latest-stories/govt-eyes-further-reopening-of-industries-under-gcq-nograles/844499/
42,https://www.manilatimes.net/2021/02/23/news/latest-stories/mayors-defer-to-duterte-over-gcq-status-in-metro-manila/844436/
43,https://www.manilatimes.net/2021/02/22/business/business-top/widen-amusement-tax-coverage-lgus-told/843639/
44,https://www.manilatimes.net/2021/02/21/news/latest-stories/cebu-bishop-priest-test-positive-for-covid-19/843557/
45,https://www.manilatimes.net/2021/02/21/opinion/editorial/coronavirus-vaccines-in-the-world-of-make-believe/843454/
46,https://www.manilatimes.net/2021/02/20/news/latest-stories/ph-logs-2240-new-cases-highest-in-feb/843240/
47,https://www.manilatimes.net/2021/02/20/news/regions/cebu-archbishop-tests-positive-for-covid-19/842893/
48,https://www.manilatimes.net/2021/02/19/news/latest-stories/ph-logs-1901-new-covid-19-cases/843010/
49,https://www.manilatimes.net/2021/02/19/news/latest-stories/manila-releases-advance-payment-for-astrazeneca/842977/
50,https://www.manilatimes.net/2021/02/19/news/latest-stories/reopening-of-cinemas-even-at-20-capacity-pushed/842909/
51,https://www.manilatimes.net/2021/02/19/news/latest-stories/cebu-archbishop-palma-tests-positive-for-covid/842878/
52,https://www.manilatimes.net/2021/02/19/news/latest-stories/2-covid-mutations-detected-in-central-visayas-samples/842876/
53,https://www.manilatimes.net/2021/02/19/opinion/columnists/secure-and-insecure-citizenship/842604/
54,https://www.manilatimes.net/2021/02/18/second-headline/un-chief-urges-global-plan-to-reverse-unfair-vaccine-process/842341/
55,https://www.manilatimes.net/2021/02/18/campus-press/are-supervisors-still-relevant-in-the-next-normal/842225/
56,https://www.manilatimes.net/2021/02/18/campus-press/this-pandemic-a-punctuated-equilibrium/842227/
57,https://www.manilatimes.net/2021/02/17/news/latest-stories/ph-signs-no-liability-deal-with-pfizer-astrazeneca/842151/
58,https://www.manilatimes.net/2021/02/17/news/latest-stories/palace-new-normal-possible-for-covid-free-areas/842135/
59,https://www.manilatimes.net/2021/02/17/second-headline/eu-to-launch-program-for-second-generation-covid-19-vaccines/841889/
60,https://www.manilatimes.net/2021/02/17/news/latest-stories/duterte-signs-law-to-cushion-impact-of-pandemic-on-financial-institutions/841871/
61,https://www.manilatimes.net/2021/02/16/second-headline/covid-19-shots-might-be-tweaked-if-variants-get-worse/841517/
62,https://www.manilatimes.net/2021/02/16/news/latest-stories/who-13-mideast-nations-have-new-variant-cases/841518/
63,https://www.manilatimes.net/2021/02/15/second-headline/virus-may-never-go-away-but-could-change-into-mild-annoyance/841271/
64,https://www.manilatimes.net/2021/02/14/opinion/editorial/hate-crimes-increasingly-target-asians-in-america/840791/
65,https://www.manilatimes.net/2021/02/14/news/world/britains-covid-19-cases-breach-4-million/840711/
66,https://www.manilatimes.net/2021/02/13/news/latest-stories/doh-allays-fears-of-new-variant-spread/840431/
67,https://www.manilatimes.net/2021/02/13/opinion/analysis/covid-19-has-shown-humanity-at-its-best-and-worst/840258/
68,https://www.manilatimes.net/2021/02/12/news/national/covid-spikes-in-3-regions-but-cases-drop-slightly/839844/
69,https://www.manilatimes.net/2021/02/11/news/latest-stories/ph-records-1734-new-covid-cases/840043/
70,https://www.manilatimes.net/2021/02/11/news/latest-stories/house-on-abs-cbn-franchise-wait-until-next-congress/839641/
71,https://www.manilatimes.net/2021/02/11/news/latest-stories/duterte-ph-ready-to-work-constructively-with-eu-despite-vaccine-hostage-claim/839613/
72,https://www.manilatimes.net/2021/02/11/business/at-a-glance-business/covid-19-drags-cic-sales-by-double-digits/839558/
73,https://www.manilatimes.net/2021/02/11/news/headlines/cebu-on-the-brink/839554/
