,urls,authors,dates,headlines,contents
0,https://www.philstar.com/headlines/2021/03/07/2082677/palace-all-documents-needed-purchase-pfizer-vaccines-already-complete,Alexis Romero,"March 7, 2021 - 5:46pm                           '",Palace: All documents needed for purchase of Pfizer vaccines already complete,"MANILA, Philippines — The government has completed all documents needed to acquire COVID-19 vaccines developed by American drug maker Pfizer and is just waiting for the delivery of the pandemic jabs, Malacañang said Sunday.The first batch of Pfizer vaccines that were acquired through the COVAX facility was supposed to arrive last month but it was delayed because of talks related to an indemnification agreement. Officials now expect the first batch of Pfizer jabs, which will consist of 117,000 doses, to arrive within the second quarter.Related StoriesPhilippines signs indemnity agreement with COVID-19 vaccine manufacturers""We have done everything that we have to do. We have signed all the documents that were given to us. It's just a matter of waiting for Pfizer to deliver the vaccine. Let's just wait,"" Cabinet Secretary Karlo Nograles told radio station dzBB.Nograles, also the co-chairman of the government's pandemic task force, said the administration is negotiating with different parties for the vaccine procurement given the supply limitations. He noted that the government has also secured vaccines manufactured by Chinese drug maker Sinovac and British-Swedish pharmaceutical firm AstraZeneca. The government will also negotiate with the Serum Institute of India for the procurement of Novavax jabs and additional AstraZeneca shots.""What is good about our vaccine roll-out plan is we are not dependent on just one brand. We understood early on that there are supply concerns worldwide,"" Nograles said.""We are not just dependent on western countries. We are also looking at Asian countries,"" he added.Vaccine czar Carlito Galvez Jr. previously said the bulk of Pfizer vaccines may not arrive in the Philippines anytime soon because of high demand.Nograles thanked Philippine Ambassador to the US Jose Manuel Romualdez for his efforts to secure vaccines, noting that Moderna and Johnson & Johnson have committed to allocate supplies to the Philippines.""These two brands are included in the seven brands we are looking at. More brands may be added...We have a good mix because we have western and Asian brands. As the whole world is scrambling for supplies, we have talked to some parties,"" the Cabinet secretary said in Filipino.  A total of 600,000 doses of Sinovac jabs and 487,200 doses of AstraZeneca shots were turned over to the Philippines last week. Another 38,400 doses of AstraZeneca vaccines that were acquired through the COVAX facility were expected to arrive last night.Nograles assured the public that the vaccine priority list would be followed during the roll-out of the AstraZeneca shots. He said the inclusion of non-medical personnel during the start of the vaccination program, including some high-ranking officials, was just a ""miscommunication.""We're really sticking to the priority list. We have a good set-up and we have the NITAG (National Immunization Technical Advisory Group)... and they recommend to the IATF (Inter-Agency Task Force for the Management of Emerging Infectious Diseases) who should be prioritized. Whatever the NITAG recommends, we stick to it,"" he said.""I don't want to preempt the results of the investigation but like I said before... based on the preliminary assessment, it seems that there was a (miscommunication) but there was no intention to jump the line but we're sticking to that queue,"" he added.Under the government's priority list, medical frontliners should be the first to be immunized, followed by senior citizens, frontline personnel in essential sectors, indigent population, other government workers, other essential workers, socio-demographic groups at significantly higher risk other than senior citizens and indigenous people, overseas Filipino workers, other remaining work force, and the rest of the Filipino population."
1,https://www.philstar.com/headlines/2021/03/07/2082650/philippines-reaches-supply-deal-moderna-13-million-doses-covid-19-vaccine,Christian Deiparine,"March 7, 2021 - 10:38am                           '",Philippines reaches supply deal with Moderna for 13 million doses of COVID-19 vaccine,"MANILA, Philippines — US-based manufacturer Moderna will supply some 13 million doses of its COVID-19 vaccine to the Philippines, officials announced under a deal reached over the weekend.Manila's embassy in Washington said the agreement was made final from a meeting on Saturday, with Moderna adding to the options for jabs in a country that began its vaccination program just this month.Related Stories20 million Moderna doses arriving May-JuneModerna in a March 6 release said deliveries could begin by the middle of the year and vowed to work with local regulators to secure emergency use approval for its vaccine.So far, Pfizer, AstraZeneca and Sinovac had been cleared for EUA by the Food and Drug Administration, with inoculations already underway with the Chinese-made jabs as well as of the British-Swedish developer.""We appreciate the confidence in Moderna, and our mRNA platform demonstrated by the government of the Philippines,"" said Moderna's CEO Stéphane Bancel. ""We remain committed to making our vaccine available on every continent to help end this global pandemic.”Taken in two doses, Moderna has reported a 94% efficacy rate for its candidate vaccine. It was approved for emergency use by US regulators in late 2020 and was the jab that America's top infectious disease expert Dr. Anthony Fauci received in December of last year.Apart from the agreed 13 million doses, officials said a separate deal for another 7 million is also anticipated, bringing the total allocation to 20 million as said by Ambassador to the US Jose Manuel Romualdez Saturday.The development marks a crucial step in the country's vaccination efforts and in turn, on government's bid to inoculate 50 to 70 million this year alone.A supply deal, however, is still different from a purchase agreement. Last month, vaccine czar Carlito Galvez Jr. said government has signed supply deals with five manufacturers that he did not name.But nothing on procurement has been made final to date, and the jabs that the Philippines have received so far are donations such as Beijing's Sinovac and the Astrazeneca doses from the World Health Organization-led COVAX facility."
2,https://www.philstar.com/nation/2021/03/07/2082509/marikina-only-88-health-workers-vaccinated,Emmanuel Tupas,"March 7, 2021 - 12:00am                           '",Marikina: Only 8.8 % of health workers vaccinated,"MANILA, Philippines — At least 430 or only 8.8 percent of the 4,890 medical frontliners in Marikina City have been inoculated with COVID-19 vaccines almost a week after the national government’s vaccine rollout, Mayor Marcelino Teodoro said on Friday.Teodoro said 283 of the health workers are from Amang Rodriguez Memorial Medical Center while the remaining 147 are from various private hospitals in the city.“No post-vaccination symptoms were observed,” he said in a text message.It means an average of 86 medical frontliners in the city have been inoculated using the vaccine developed by Sinovac Biotech of China.The national government has earmarked 1,350 doses but Teodoro said they need at least 9,780 jabs to achieve full immunity for their health workers.Teodoro earlier lamented the Department of Health’s decision preventing him from getting vaccinated, which he said could help boost the public’s confidence in vaccines.Marikina has at least 4,563 COVID-19 cases with 87 deaths. A total of 277 patients are still infected with the virus while 4,194 have recovered."
3,https://www.philstar.com/nation/2021/03/07/2082510/san-juan-starts-vaccine-rollout,Ghio Ong,",  March 7, 2021 - 12:00am                           '",San Juan starts vaccine rollout,"MANILA, Philippines — The city government of San Juan yesterday kicked off its COVID-19 vaccination program using the vaccine developed by Sinovac Biotech of China.Medical frontliners of the San Juan Medical Center (SJMC), led by hospital director Dr. Joseph Acosta, were inoculated at the Filoil Flying V Center in Barangay Corazon de Jesus.Vice Mayor Jose Warren Villa officiated the ceremonial vaccination as Mayor Francis Zamora is still under quarantine after he tested positive for COVID-19.The national government has set aside 300 doses of the Sinovac jabs for San Juan.Villa said a total of 138 healthcare workers, representing 33 percent of SJMC’s workforce, have signed up for the vaccination drive.Villa said next in line are medical frontliners of the city health office.There are at least 89 active COVID-19 cases in San Juan. The virus has infected a total 3,960 individuals in the city since last year, killing 106.Caloocan’s elderly hospital staff get Sinovac shotsSome personnel of Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium in Caloocan City who are above 60 years old were inoculated with Sinovac’s vaccine.Hilda Guevara, 63, who works as an administrative assistant, received the vaccine on Thursday after consulting doctors at the hospital and undergoing laboratory tests, according to a report by ABS-CBN News.Hospital director Dr. Alfonso Victorino Famaran Jr. told The STAR yesterday that Guevara was not the only hospital personnel above 60 years old who received the vaccine but did not specify a figure.While the Food and Drug Administration (FDA) previously announced that the Sinovac vaccine should be given only to people aged 18 to 59, Famaran maintained it “there was no advice that it should not be given to senior citizens.”“People aged 60 and up can receive Sinovac vaccine provided they present a medical clearance and they sign a waiver saying they are aware that they will receive the vaccine and that they are above the age range of those who are supposed to receive the vaccine,” he said in Filipino.Famaran also said he has not received word from the Department of Health (DOH) when they would receive the COVID-19 vaccine created by European drug company AstraZeneca.Around 370 of the 1,935 hospital personnel have been injected with the Sinovac vaccine as of Friday, he said.The hospital has received 1,800 doses of Sinovac vaccine, of which 600 were either consumed or reserved as a booster dose."
4,https://www.philstar.com/nation/2021/03/07/2082521/1094-pnp-medical-frontliners-get-sinovac-jabs,Emmanuel Tupas,"March 7, 2021 - 12:00am                           '","1,094 PNP medical frontliners get Sinovac jabs","MANILA, Philippines — A total of 1,094 healthcare frontliners of the Philippine National Police (PNP) have been vaccinated against COVID-19 as of yesterday.PNP deputy chief for administration Lt. Gen. Guillermo Eleazar said the 209 medical frontliners on Friday took the jabs developed by Chinese drug firm Sinovac Biotech.Nine experienced mild adverse side effects such as headache, skin rashers, palpitation and dizziness since the PNP started its vaccination program last Monday. Eleazar said these symptoms are minor and did not require hospitalization.At least 1,268 PNP medical frontliners have expressed willingness to be inoculated with Chinese vaccines. The government has increased the allocation of vaccines to the police force from 800 to 1,200 doses.A total of 11,613 PNP members have contracted COVID-19 since last year. Thirty-one died while 11,037 or 95.04 percent of the patients recovered from the disease.At least 545 other police personnel are still battling COVID-19 in hospitals and quarantine facilities."
5,https://www.philstar.com/nation/2021/03/07/2082526/ilocos-cordilleras-roll-out-sinovac-vaccines,Raymund Catindig,",  March 7, 2021 - 12:00am                           '","Ilocos, Cordilleras roll out Sinovac vaccines","MANILA, Philippines — Hundreds of health workers in Ilocos and the Cordilleras were inoculated with Sinovac vaccines from China yesterday as the two regions kicked off their anti-COVID vaccination program.Norman Rabago and Walberg Samonte, COVID-19 consultant and director of the Governor Roque Ablan Memorial Hospital in Laoag City, respectively, are the first doctors in Ilocos who were vaccinated.Infectious disease specialist Dr. Criselda Ciubal was the first to receive the Sinovac jab among health workers at the Laoag City General Hospital.Pediatrics specialist Dr. Agnes Dimacalo of the Region 1 Medical Center was the first to be vaccinated in Pangasinan.A vaccine rollout was also held at the Ilocos Training and Regional Medical Center in San Fernando City, La Union.The inoculations against COVID-19 in Ilocos is expected to be completed in five days.Dr. Meliarazon Dulay, acting chief of the Benguet General Hospital, was the first to be injected in the province.Doctors Edrian Geronimo and Daisy Mae Tagudar, heads of the infectious disease and internal medicine departments in the hospital, respectively, were also inoculated.In Mountain Province, the head of the Luis Hora Regional Memorial Hospital (LHRMH) in Bauko town, Dr. Eduardo Calpito, was the first to be vaccinated.Of the 1,040 doses delivered in Mountain Province, 600 are allocated for LHRMH and 200 for Bontoc General Hospital.The vaccination program in Kalinga will start today.The Department of Health turned over 300 doses of Sinovac vaccines to the Kalinga provincial health office on Friday.The second batch of Sinovac vaccines is expected to be delivered after 28 days.Meanwhile, Bulacan received 900 doses of Sinovac vaccines yesterday.Hjordis Celis, head of the response cluster of the provincial task force against COVID-19, said health workers of the Bulacan Medical Center as well as district hospitals would be given priority in the vaccine rollout tomorrow.The vaccinations will be held at the Hiyas ng Bulacan Convention Center in Malolos.Swab tests still requiredAs this developed, Negros Oriental Gov. Roel Degamo said visitors are still required to undergo swab test upon arrival in the province.Degamo said those with negative results would be allowed to go home while those who tested positive for the virus would be brought to isolation facilities.While he acknowledged the more relaxed travel protocols issued by the Inter-Agency Task Force for the Management of Emerging Infectious Diseases, the governor stressed the need to control the spread of COVID-19 in the province.Negros Oriental logged 120 active cases on Friday. – Ramon Efren Lazaro, Gilbert Bayoran"
6,https://www.philstar.com/headlines/2021/03/07/2082545/dont-waste-hope-vaccines-who-warns,None,"March 7, 2021 - 12:00am                           '","Don’t waste the hope of vaccines, WHO warns","COVAX will distribute 14.4 million COVID-19 vaccine doses to 31 more countries this week, the World Health Organization (WHO) said Friday as it warned people not to waste, through complacency, the hope that vaccines bring.The COVAX global vaccine-sharing facility shipped more than 20 million doses to 20 countries as the scheme aimed at ensuring poorer nations get access to jabs took off last week.But the WHO voiced fears that further waves of the coronavirus pandemic could be on the way if people think the roll-out of vaccines around the globe means the crisis is over.“The arrival of vaccine is a moment of great hope. But it potentially also is a moment where we lose concentration,” WHO emergencies director Michael Ryan told a press conference.“I really am very concerned that... we think we’re through this. We’re not.“And countries are going to lurch back into third and fourth surges if we’re not careful.“We should not waste the hope that vaccines bring... by dropping our guard in other areas.”WHO director-general Tedros Adhanom Ghebreyesus praised the first full week of the COVAX roll-out, but said wealthy countries were nonetheless still leaving others behind in the vaccination rush.Within Africa, Angola, the DR Congo, The Gambia, Ghana, Ivory Coast, Kenya, Lesotho, Malawi, Mali, Nigeria, Rwanda, Senegal, Sudan and Uganda have now received their first doses through COVAX.Elsewhere, Cambodia, Colombia, India, Moldova, the Philippines and South Korea have also taken deliveries.“In the next week, COVAX will deliver 14.4 million doses to a further 31 countries. That brings the total number of countries to 51,” said Tedros.“This is encouraging progress, but the volume of doses being distributed through COVAX is still relatively small.”He said the first round of allocations, running until the end of May, only covered between two and three percent of the population in recipient states, “even as other countries make rapid progress towards vaccinating their entire population within the next few months.”He called for vaccine production to be urgently ramped up, including through linking manufacturers with rival companies that have spare capacity.Tedros also said the planet would be feeling the mental scars from the pandemic for years to come and said the scale of its impact would be worse than during the recovery from World War II.“The whole world is affected. Each and every individual. That means mass trauma which is beyond proportion. Even bigger than what the world experienced after the Second World War,” he said.“And when there is mass trauma it affects communities for many years to come. Countries have to see it as such and prepare for that. Mass, mass trauma.”Brazil fearsMeanwhile Tedros voiced alarm about the coronavirus situation in Brazil, where cases and deaths have shot up, bucking the global trend.He said that in the week beginning Nov. 2, there were 114,000 new cases in Brazil – a figure that hit 374,000 in the week of Feb. 22.Tedros said the number of deaths had also shot up from 2,500 to 8,000 over the same time period.“The situation is very serious and we’re very concerned, and the public health measures that Brazil takes should be aggressive while also rolling out vaccines,” he said. “Brazil has to take this very, very seriously.”He said that because Brazil bordered so many other countries, the situation there threatened the entire South American continent.Ryan said the P1 variant – which has now been found in 29 countries – had become dominant in Brazil, adding to its woes.He said basic public health measures were still the “best bet” in trying to control case numbers.“Our risk, to an extent, is still in our hands,” Ryan said.But he added that it was very hard in countries like Brazil with large urban populations to take measures like physical distancing and mask-wearing “where they don’t have the resources to do that without the support of the state.”"
7,https://www.philstar.com/cebu-news/2021/03/07/2082634/deped-encourages-cebu-teachers-get-vaccinated-versus-covid-19,Le Phyllis F. Antojado,"March 7, 2021 - 12:00am                           '",DepEd encourages Cebu teachers to get vaccinated versus COVID-19,"CEBU, Philippines —  The Department of Education (Dep-Ed) Cebu Province is encouraging its teachers to get vaccinated against COVID-19 once the vaccine is available to them, especially with DepEd preparing for the possibility of limited face-to-face classes in the coming months.While medical experts have pushed for every Filipino to get vaccinated, Dr. Marilyn Andales, DepEd Cebu Province School Division Superintendent, said the best that DepEd can do is encourage teachers as respect to their individual rights.""Dili man sila pugson... encouraged lang kay naa man pod nay right,"" Andales said.She said teachers in the province have mixed reactions about the vaccine and there are those who are hesitant to get vaccinated.""Naa pud, natural feelings labi na naa kay existing nga mga sakit… kuan sila, apprehensive what might be the effect kung naa, unya naa ko ani nga sakit… Pero naa po’y isog naa pod uban ganahan,"" Andales told reporters at the sidelines of the Enhanced Countryside Development (ECD) program launched by the Cebu Provincial Government in Pinamunganan town, on March 5.With the national government looking at easing more restrictions as the vaccination program rolls out, Andales said they have identified 12 public schools in different local government units where limited face-to-face classes may be piloted.The list, though, is still being finalized, as there are schools that have backed out after their LGU recorded cases recently.""Sa ilang place sauna, wala to sila, COVID-free, but because nisulat sila nga increasing ilahang COVID cases, so ni-decline sila to be a pilot school sa limited face to face,"" Andales said.She said DepEd is drafting the guidelines in the implementation of the face-to-face classes so that transition will be easier once President Rodrigo Duterte gives the go signal.More AstraZenecaMeanwhile, more doses of the COVID-19 shot developed by British-Swedish drugmaker AstraZeneca with the University of Oxford, will arrive in the Philippines tonight, said vaccine czar Carlito Galvez said.Galvez said 38,400 doses of the jab would arrive at around 7 p.m. on board a commercial plane.These doses form part of the World Health Organization-led COVAX Facility’s pledge to initially deliver 525,600 doses to the Philippines as part of its commitment to give the country a total of 4.5 million doses of the shot by May.Malacañang announced initially that all 525,600 doses would arrive on March 1, only for this to be delayed to March 4 due to supply and logistical problems, which resulted in only 487,200 doses landing in the country.Speaking to health workers at the Ospital ng Parañaque, Galvez said all 525,600 doses did not arrive at the same time because a commercial plane was used for its delivery.The Philippines expects to receive up to 9.2 million doses of AstraZeneca’s coronavirus vaccine this year through the COVAX facility, which ensures that developing countries get access to the coveted drug.The doses from the COVAX facility is on top of the 17 million procured by the national government, local governments and the private sector, which are expected to arrive later this year.AstraZeneca’s shot, which has secured emergency use approval from the Food and Drug Administration, is found to be 70 percent effective on average and only need to be stored at standard fridge temperatures of 2°C.A member of the private research firm OCTA warned, however, that the shot’s efficacy could decrease to just 10 percent against the new coronavirus variant first identified in South Africa — 58 cases of which have already been detected in the Philippines.The health department sought to soothe those fears, saying that the studies cited only used a small sample of individuals, although it did say that the variant from South Africa, known as B.1.351, “may have an impact on vaccine efficacy.”The World Health Organization (WHO) stands by the use of AstraZeneca vaccine after a preliminary study suggested the jab offered less protection against B.1.351.ModernaAside from the AstraZeneca vaccine, about 20 million doses from US biotechnology company Moderna are expected by the end of May or early June, Ambassador to the US Jose Manuel Romualdez said Saturday.The Moderna vaccine has, so far, shown a 94 percent efficacy, higher than either that of Sinovac or AstraZeneca which arrived in the past week.At a Laging Handa briefing, Romualdez said the Philippines is also likely to get 117,000 doses of Pfizer’s COVID-19 vaccine from the COVAX Facility, initiated by WHO.American company Johnson and Johnson has also allocated six million of its COVID-19 vaccine to the Philippines, he added.Overall, the Philippines is expected to receive over 40 million doses of COVID-19 vaccines from the US and the United Kingdom this year, Romualdez and British Ambassador Daniel Pruce said in separate interviews.- Philstar.com, JMO (FREEMAN)"
8,https://www.philstar.com/headlines/2021/03/06/2082410/more-astrazeneca-vaccines-arriving-philippines-sunday,Xave Gregorio,"March 6, 2021 - 1:51pm                           '",More AstraZeneca vaccines arriving in Philippines on Sunday,"MANILA, Philippines — The Philippines is set to receive Sunday evening more doses of the COVID-19 shot developed by British-Swedish drugmaker AstraZeneca with the University of Oxford, vaccine czar Carlito Galvez said.Galvez said 38,400 doses of the jab would arrive in the Philippines at around 7 p.m. onboard a commercial plane.Related StoriesAfter delays, first AstraZeneca jabs from COVAX arrive in PhilippinesPhilippines detects 83 more cases of coronavirus variants first seen in UK, South AfricaThese doses form part of the World Health Organization-led COVAX facility’s pledge to initially deliver 525,600 doses to the Philippines as part of its commitment to give the country a total of 4.5 million doses of the shot by May.Malacañang initially announced that the all 525,600 doses would arrive on March 1, only for this to be delayed to March 4 due to supply and logistical problems, which resulted in only 487,200 doses landing in the country.Speaking to health workers at the Ospital ng Parañaque, Galvez said all 525,600 doses did not arrive at the same time because a commercial plane was used for its delivery.The Philippines expects to receive up to 9.2 million doses of AstraZeneca’s coronavirus vaccine this year through the COVAX facility, which ensures that developing countries get access to the coveted drug.The doses from the COVAX facility is on top of the 17 million procured by the national government, local governments and the private sector, which are expected to arrive later this year.AstraZeneca’s shot, which has secured emergency use approval from the Food and Drug Administration, is found to be 70% effective on average and only need to be stored at standard fridge temperatures of 2°C.A member of the private research firm OCTA, however, warned that the shot’s efficacy could decrease to just 10% against the new coronavirus variant first identified in South Africa — 58 cases of which have already been detected in the Philippines.The health department sought to soothe those fears, saying that the studies cited only used a small sample of individuals, although it did say that the variant from South Africa, known as B.1.351, “may have an impact on vaccine efficacy.”The World Health Organization stands by the use of AstraZeneca vaccine after a preliminary study suggested the jab offered less protection against B.1.351."
9,https://www.philstar.com/cebu-news/2021/03/06/2082453/city-chooses-astra-covovax,Caecent No-ot Magsumbol,"March 6, 2021 - 12:00am                           '","City chooses Astra, Covovax","CEBU, Philippines — Cebu City has submitted letters of intent to purchase COVID-19 vaccines from AstraZeneca and Covovax.“Ato nang gipada sa duha, AstraZeneca and Covovax,” said Mayor Edgardo Labella yesterday.The city sent the letters after the City Council authorized Labella to do so. Vice Mayor Michael Rama, the city’s vaccine convenor, presides over the Council.The city chose AstraZeneca and Covovax for their efficacy and cost, as well as storage consideration. AstraZeneca already has an Emergency Use Authorization from the country’s Food and Drug Administration. Covovax’s EUA is still pending.Labella said this is not the first time that the city communicated with AstraZeneca but this is the first time that it formalized its intent with the Council authorization. Negotiations are being handled by Rama and the city’s vaccine board.Initially, the city government will use P100 million of its P400 million budget for vaccines.  It will purchase more depending on the progress of the national government’s orders and will add budget when necessary.The city is also open to purchasing other vaccine brands, but only after these brands can get an EUA.In an earlier report, Sinovac is among three vaccines the city has considered for its own vaccination program. However, it decided to let go of Pfizer-BioNtech, the first vaccine to be given an EUA in the country, mainly due to storage concernsLabella said he will have himself vaccinated, as long as it is safe for senior citizens, as soon as the vaccine arrives.“Ako, magpabakuna gyud ko because this is the one of the ways that we can go back to normal,” Labella said.He said the city can also hold its own simulation of the vaccination program just like what Lapu-Lapu did.Based on the March 4, 2021 data from the Department of Health (DOH)-7, Cebu City has 3,316 active cases with 143 more logged that day. — JMO (FREEMAN)"
